               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088907,            0.081321,            0.034747,             0.75904,             0.13443,            0.083942,            0.025183,            0.075607,            0.057558,            0.024022,            0.070043,           0.0033286,           0.0033286
                   1,            0.078785,            0.077265,            0.018629,             0.52687,             0.18812,             0.16507,            0.051851,            0.072359,              0.0548,            0.015165,            0.040021,           0.0066399,           0.0066399
                   2,            0.074477,            0.075809,            0.013791,             0.46677,             0.30454,             0.26222,            0.082235,            0.067877,            0.053724,            0.010791,           0.0099767,           0.0099293,           0.0099293
                   3,            0.069252,            0.073956,            0.010837,             0.61428,             0.35961,             0.39867,             0.14224,            0.060938,            0.052163,           0.0080711,            0.009901,            0.009901,            0.009901
                   4,            0.064894,              0.0716,           0.0087348,             0.57512,             0.49179,             0.51485,             0.20565,            0.056478,            0.049374,           0.0060701,            0.009901,            0.009901,            0.009901
                   5,            0.061981,            0.069993,           0.0074904,             0.64885,             0.54136,             0.58597,             0.22605,            0.054962,            0.047737,           0.0052361,            0.009868,            0.009868,            0.009868
                   6,            0.060154,            0.069481,            0.006838,             0.66939,             0.56948,             0.61522,             0.25414,            0.052278,            0.046279,           0.0047765,            0.009835,            0.009835,            0.009835
                   7,            0.058013,            0.067193,           0.0061347,             0.74567,             0.61231,             0.66459,             0.27594,            0.049993,            0.045609,           0.0042453,            0.009802,            0.009802,            0.009802
                   8,            0.056382,            0.065893,           0.0056975,             0.70945,             0.61764,             0.66354,             0.27174,             0.04892,            0.044608,           0.0038552,            0.009769,            0.009769,            0.009769
                   9,            0.055185,             0.06466,           0.0054083,             0.78174,             0.65641,               0.711,             0.31528,            0.047642,            0.043706,           0.0036472,            0.009736,            0.009736,            0.009736
                  10,             0.05383,            0.064459,           0.0051292,             0.77289,              0.6602,             0.71438,             0.31557,            0.047203,            0.043442,           0.0035005,            0.009703,            0.009703,            0.009703
                  11,            0.052601,            0.063484,            0.004876,             0.80453,             0.67671,             0.74233,             0.34156,            0.045905,            0.043271,           0.0033441,             0.00967,             0.00967,             0.00967
                  12,            0.051971,            0.062964,           0.0047786,             0.83241,             0.69486,             0.77196,             0.36567,            0.044999,            0.041924,           0.0032063,            0.009637,            0.009637,            0.009637
                  13,            0.051178,            0.062572,           0.0045233,             0.82183,             0.71142,             0.78466,             0.36986,             0.04446,             0.04121,            0.003051,            0.009604,            0.009604,            0.009604
                  14,            0.050685,            0.062042,           0.0044465,             0.83579,             0.72642,             0.80172,             0.38706,            0.043329,            0.040827,           0.0029393,            0.009571,            0.009571,            0.009571
